cell_id,region_group,center_lat,center_lon,cell_size_km,geojson_file,kelpwatch_csv_file,time_variable,selection_rule,final_filter_after_kelpwatch,kelpwatch_csv_exists,kelpwatch_csv_rows,kelpwatch_has_required_columns,kelpwatch_has_quarter_max,historic_footprint_cells,has_historic_kelp_footprint,passes_initial_filter,passes_robustness_filter_500,n_years_total,n_years_with_positive_kelp,first_positive_kelp_year,last_positive_kelp_year,max_growing_season_kelp_area_m2,mean_growing_season_kelp_area_m2,median_growing_season_kelp_area_m2,p25_growing_season_kelp_area_m2,p75_growing_season_kelp_area_m2,historical_p25_kelp_area_m2,historical_mean_kelp_area_m2,historical_max_kelp_area_m2,latest_year,latest_growing_season_kelp_area_m2,latest_vs_historical_p25,latest_vs_historical_mean_ratio,mean_count_cells_no_clouds_max,min_count_cells_no_clouds_max,mean_cloud_free_fraction,n_missing_or_empty_max_rows,summary_error,passes_exploratory_filter_gt0,passes_main_filter_ge500
cell_032,Northern California,38.906593,-123.636834,10,cell_032.geojson,kelpwatch_cell_032.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2751,true,true,true,42,41,1984,2025,515969,105846.880952,41599,6858.25,176246,6858.25,105846.880952,515969,2025,2806,-4052.25,0.02651,2750.97619,2750,0.999991,0,,true,true
cell_037,Northern California,38.816691,-123.632413,10,cell_037.geojson,kelpwatch_cell_037.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3346,true,true,true,42,42,1984,2025,555827,167381.166667,131910,35218.5,298114.75,35218.5,167381.166667,555827,2025,12642,-22576.5,0.075528,3342,3272,0.998805,0,,true,true
cell_038,Northern California,38.820083,-123.517205,10,cell_038.geojson,kelpwatch_cell_038.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,931,true,true,true,42,42,1984,2025,193723,40310.761905,20486,3844.25,48540,3844.25,40310.761905,193723,2025,1453,-2391.25,0.036045,930.404762,921,0.999361,0,,true,true
cell_042,Northern California,38.730178,-123.512935,10,cell_042.geojson,kelpwatch_cell_042.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,868,true,true,true,42,42,1984,2025,113401,26975.809524,16339.5,7421.75,45344.75,7421.75,26975.809524,113401,2025,6305,-1116.75,0.233728,867.380952,851,0.999287,0,,true,true
cell_043,Northern California,38.733456,-123.397857,10,cell_043.geojson,kelpwatch_cell_043.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,347,true,true,false,42,34,1985,2024,53663,9155.047619,1970,124.5,13483.5,124.5,9155.047619,53663,2025,0,-124.5,0,346.619048,336,0.998902,0,,true,false
cell_048,Northern California,38.64355,-123.393735,10,cell_048.geojson,kelpwatch_cell_048.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1715,true,true,true,42,42,1984,2025,278870,68702.738095,16284.5,1311.5,110235,1311.5,68702.738095,278870,2025,533,-778.5,0.007758,1704.357143,1495,0.993794,0,,true,true
cell_053,Northern California,38.553645,-123.389624,10,cell_053.geojson,kelpwatch_cell_053.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1092,true,true,true,42,38,1985,2025,187010,49431.285714,28362,1526,77611.75,1526,49431.285714,187010,2025,2171,645,0.04392,1088.333333,1017,0.996642,0,,true,true
cell_054,Northern California,38.556807,-123.274815,10,cell_054.geojson,kelpwatch_cell_054.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1828,true,true,true,42,42,1984,2025,471008,89806.166667,42165.5,2725.5,149748.25,2725.5,89806.166667,471008,2025,2574,-151.5,0.028662,1817.166667,1640,0.994074,0,,true,true
cell_059,Northern California,38.4669,-123.270852,10,cell_059.geojson,kelpwatch_cell_059.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1474,true,true,true,42,42,1984,2025,307536,60869.238095,28465,1086.75,91658.25,1086.75,60869.238095,307536,2025,468,-618.75,0.007689,1472.571429,1428,0.999031,0,,true,true
cell_060,Northern California,38.469948,-123.156172,10,cell_060.geojson,kelpwatch_cell_060.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,632,true,true,true,42,38,1985,2025,103889,20614.095238,10489.5,588,30579.75,588,20614.095238,103889,2025,72,-516,0.003493,631,608,0.998418,0,,true,true
cell_070,Northern California,38.293063,-123.034138,10,cell_070.geojson,kelpwatch_cell_070.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2,true,true,false,42,10,1985,2023,450,36.452381,0,0,0,0,36.452381,450,2025,0,,0,1.97619,1,0.988095,0,,true,false
cell_074,Northern California,38.203153,-123.03048,10,cell_074.geojson,kelpwatch_cell_074.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,7,true,true,false,42,4,1994,2009,1202,33.928571,0,0,0,0,33.928571,1202,2025,0,,0,6.714286,4,0.959184,0,,true,false
cell_082,Northern California,38.023333,-123.023189,10,cell_082.geojson,kelpwatch_cell_082.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,7,true,true,false,42,27,1984,2025,1170,279.333333,191.5,0,432.75,0,279.333333,1170,2025,95,,0.340095,6.714286,0,0.959184,0,,true,false
cell_083,Northern California,38.026147,-122.909179,10,cell_083.geojson,kelpwatch_cell_083.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2,true,true,false,42,5,1996,2022,515,24.904762,0,0,0,0,24.904762,515,2025,0,,0,1.97619,1,0.988095,0,,true,false
cell_084,Northern California,38.028853,-122.795161,10,cell_084.geojson,kelpwatch_cell_084.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,11,true,true,false,42,22,1993,2025,2504,204.071429,23.5,0,177.75,0,204.071429,2504,2025,412,,2.018901,10.952381,10,0.995671,0,,true,false
cell_089,Northern California,37.938937,-122.791803,10,cell_089.geojson,kelpwatch_cell_089.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,154,true,true,false,42,41,1984,2025,41823,9646.785714,7719.5,4029.5,10914.25,4029.5,9646.785714,41823,2025,12873,8843.5,1.334434,151.690476,121,0.985003,0,,true,false
cell_090,Northern California,37.941531,-122.677914,10,cell_090.geojson,kelpwatch_cell_090.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,39,true,true,false,42,28,1986,2025,8757,1116.02381,351.5,0,1413.5,0,1116.02381,8757,2025,261,,0.233866,39,39,1,0,,true,false
cell_094,Northern California,37.851612,-122.6747,10,cell_094.geojson,kelpwatch_cell_094.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,52,true,true,false,42,34,1984,2025,15543,1688.880952,670,110.25,1743.75,110.25,1688.880952,15543,2025,717,606.75,0.424541,52,52,1,0,,true,false
cell_113,Northern California,37.494404,-122.548703,10,cell_113.geojson,kelpwatch_cell_113.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,134,true,true,false,42,12,2003,2025,23032,1072.714286,0,0,60,0,1072.714286,23032,2025,72,,0.067119,134,134,1,0,,true,false
cell_114,Northern California,37.496769,-122.435478,10,cell_114.geojson,kelpwatch_cell_114.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,45,true,true,false,42,15,2002,2024,12292,436.904762,0,0,64.25,0,436.904762,12292,2025,0,,0,45,45,1,0,,true,false
cell_131,Northern California,37.13705,-122.423897,10,cell_131.geojson,kelpwatch_cell_131.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2,true,true,false,42,2,2019,2020,306,11.357143,0,0,0,0,11.357143,306,2025,0,,0,2,2,1,0,,true,false
cell_132,Northern California,37.139296,-122.311203,10,cell_132.geojson,kelpwatch_cell_132.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,909,true,true,true,42,42,1984,2025,109205,25398.404762,14544,9051.75,36683.5,9051.75,25398.404762,109205,2025,18788,9736.25,0.739731,908.857143,907,0.999843,0,,true,true
cell_137,Northern California,37.04936,-122.308458,10,cell_137.geojson,kelpwatch_cell_137.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,118,true,true,false,42,24,1988,2024,18523,905.5,40,0,273.5,0,905.5,18523,2025,0,,0,118,118,1,0,,true,false
cell_138,Northern California,37.051497,-122.195892,10,cell_138.geojson,kelpwatch_cell_138.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,295,true,true,false,42,38,1984,2024,31597,2752.380952,820,127,2009.25,127,2752.380952,31597,2025,0,-127,0,294.904762,293,0.999677,0,,true,false
cell_142,Central California,36.961555,-122.193287,10,cell_142.geojson,kelpwatch_cell_142.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,522,true,true,true,42,42,1984,2025,161330,44564.428571,30269,17454,62480,17454,44564.428571,161330,2025,26144,8690,0.586656,521.02381,500,0.99813,0,,true,true
cell_143,Central California,36.963583,-122.080848,10,cell_143.geojson,kelpwatch_cell_143.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2739,true,true,true,42,42,1984,2025,1168440,399781.357143,361793.5,211023.75,535515.75,211023.75,399781.357143,1168440,2025,206080,-4943.75,0.515482,2736.142857,2643,0.998957,0,,true,true
cell_144,Central California,36.965504,-121.968403,10,cell_144.geojson,kelpwatch_cell_144.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2109,true,true,true,42,42,1984,2025,546261,243385.666667,245130.5,161086.75,323907.5,161086.75,243385.666667,546261,2025,156551,-4535.75,0.643222,2108.690476,2096,0.999853,0,,true,true
cell_162,Central California,36.605697,-121.959107,10,cell_162.geojson,kelpwatch_cell_162.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,6773,true,true,true,42,42,1984,2025,2039083,869582.285714,828918,308575.25,1301656.75,308575.25,869582.285714,2039083,2025,159363,-149212.25,0.183264,6668.357143,3104,0.98455,0,,true,true
cell_163,Central California,36.607503,-121.847188,10,cell_163.geojson,kelpwatch_cell_163.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,650,true,true,true,42,42,1984,2025,124421,40502.738095,37123.5,19960.25,59983,19960.25,40502.738095,124421,2025,62667,42706.75,1.547229,649.47619,631,0.999194,0,,true,true
cell_166,Central California,36.515737,-121.956797,10,cell_166.geojson,kelpwatch_cell_166.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,5731,true,true,true,42,42,1984,2025,2289513,1343905.833333,1348395,825271,1921251.5,825271,1343905.833333,2289513,2025,384998,-440273,0.286477,5667.357143,4718,0.988895,0,,true,true
cell_170,Central California,36.425775,-121.954492,10,cell_170.geojson,kelpwatch_cell_170.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3537,true,true,true,42,42,1984,2025,1696838,771349.47619,801067.5,378443.25,1142779.5,378443.25,771349.47619,1696838,2025,28644,-349799.25,0.037135,3508,3151,0.991801,0,,true,true
cell_174,Central California,36.335809,-121.952193,10,cell_174.geojson,kelpwatch_cell_174.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3104,true,true,true,42,42,1984,2025,1026121,471188.095238,401427,258001.5,665577.75,258001.5,471188.095238,1026121,2025,110971,-147030.5,0.235513,3084.785714,2879,0.99381,0,,true,true
cell_175,Central California,36.337609,-121.840668,10,cell_175.geojson,kelpwatch_cell_175.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1171,true,true,true,42,42,1984,2025,379785,218343.904762,219497,181766.5,265219,181766.5,218343.904762,379785,2025,190611,8844.5,0.872985,1165.047619,1038,0.994917,0,,true,true
cell_179,Central California,36.245839,-121.949899,10,cell_179.geojson,kelpwatch_cell_179.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,313,true,true,false,42,42,1984,2025,196210,69999.285714,67263,29191.25,98373.5,29191.25,69999.285714,196210,2025,7918,-21273.25,0.113115,313,313,1,0,,true,false
cell_180,Central California,36.247637,-121.838505,10,cell_180.geojson,kelpwatch_cell_180.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,7367,true,true,true,42,42,1984,2025,3696384,2074398.857143,2068887,1650607,2691866.5,1650607,2074398.857143,3696384,2025,1316872,-333735,0.634821,7362.809524,7245,0.999431,0,,true,true
cell_181,Central California,36.249329,-121.727106,10,cell_181.geojson,kelpwatch_cell_181.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1105,true,true,true,42,42,1984,2025,544768,306058.52381,336999,218555.25,387325.25,218555.25,306058.52381,544768,2025,293274,74718.75,0.958228,1103.571429,1068,0.998707,0,,true,true
cell_185,Central California,36.159351,-121.725079,10,cell_185.geojson,kelpwatch_cell_185.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1570,true,true,true,42,42,1984,2025,825113,485924.142857,486227,319484.75,665667.75,319484.75,485924.142857,825113,2025,138639,-180845.75,0.28531,1557.071429,1164,0.991765,0,,true,true
cell_186,Central California,36.160936,-121.613805,10,cell_186.geojson,kelpwatch_cell_186.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2557,true,true,true,42,42,1984,2025,1273590,645240.190476,663524.5,259198,938584,259198,645240.190476,1273590,2025,148569,-110629,0.230254,2554.619048,2508,0.999069,0,,true,true
cell_191,Central California,36.070952,-121.611913,10,cell_191.geojson,kelpwatch_cell_191.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3592,true,true,true,42,42,1984,2025,1750494,911823.428571,930713,438286.25,1249166.5,438286.25,911823.428571,1750494,2025,408667,-29619.25,0.448187,3572.833333,3190,0.994664,0,,true,true
cell_196,Central California,35.980964,-121.610026,10,cell_196.geojson,kelpwatch_cell_196.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2529,true,true,true,42,42,1984,2025,1064979,333524.690476,310453.5,110758.25,469037.25,110758.25,333524.690476,1064979,2025,108465,-2293.25,0.325208,2523.404762,2393,0.997788,0,,true,true
cell_197,Central California,35.982439,-121.499009,10,cell_197.geojson,kelpwatch_cell_197.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2628,true,true,true,42,42,1984,2025,1193977,534956.761905,493301.5,337283.25,726824.25,337283.25,534956.761905,1193977,2025,261145,-76138.25,0.488161,2617.02381,2554,0.995823,0,,true,true
cell_202,Central California,35.892445,-121.497255,10,cell_202.geojson,kelpwatch_cell_202.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2824,true,true,true,42,42,1984,2025,1088617,475364.333333,445052.5,246723.25,697920.75,246723.25,475364.333333,1088617,2025,170448,-76275.25,0.358563,2820.571429,2748,0.998786,0,,true,true
cell_203,Central California,35.893814,-121.386364,10,cell_203.geojson,kelpwatch_cell_203.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,763,true,true,true,42,42,1984,2025,472078,185208.547619,167710.5,78397.5,272090,78397.5,185208.547619,472078,2025,198341,119943.5,1.070906,762.642857,749,0.999532,0,,true,true
cell_207,Central California,35.803813,-121.384744,10,cell_207.geojson,kelpwatch_cell_207.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3124,true,true,true,42,42,1984,2025,1655484,571639.690476,435975,245278.5,846640.75,245278.5,571639.690476,1655484,2025,591422,346143.5,1.034606,3123.928571,3121,0.999977,0,,true,true
cell_212,Central California,35.713807,-121.383128,10,cell_212.geojson,kelpwatch_cell_212.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,50,true,true,false,42,21,1989,2025,18527,1511.166667,8.5,0,228.75,0,1511.166667,18527,2025,3777,,2.499393,50,50,1,0,,true,false
cell_213,Central California,35.715068,-121.272492,10,cell_213.geojson,kelpwatch_cell_213.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3021,true,true,true,42,42,1984,2025,480071,130758.357143,100798.5,43870.75,190950,43870.75,130758.357143,480071,2025,137730,93859.25,1.053317,3020.619048,3006,0.999874,0,,true,true
cell_218,Central California,35.625056,-121.271008,10,cell_218.geojson,kelpwatch_cell_218.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,5084,true,true,true,42,42,1984,2025,2106649,836870.214286,731696.5,463209.75,1076340.25,463209.75,836870.214286,2106649,2025,763845,300635.25,0.91274,5082.333333,5031,0.999672,0,,true,true
cell_219,Central California,35.62621,-121.160498,10,cell_219.geojson,kelpwatch_cell_219.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,4971,true,true,true,42,42,1984,2025,2367603,1040258.428571,919411,678814.75,1452457.5,678814.75,1040258.428571,2367603,2025,665484,-13330.75,0.639729,4970.666667,4957,0.999933,0,,true,true
cell_224,Central California,35.536191,-121.159146,10,cell_224.geojson,kelpwatch_cell_224.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2505,true,true,true,42,42,1984,2025,1676349,375963.571429,277619,146724,507826.75,146724,375963.571429,1676349,2025,182915,36191,0.486523,2505,2505,1,0,,true,true
cell_225,Central California,35.537239,-121.048761,10,cell_225.geojson,kelpwatch_cell_225.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,5337,true,true,true,42,42,1984,2025,3045242,802520.642857,648517,268803.5,1147645,268803.5,802520.642857,3045242,2025,324239,55435.5,0.404026,5337,5337,1,0,,true,true
cell_230,Central California,35.447214,-121.047541,10,cell_230.geojson,kelpwatch_cell_230.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,4411,true,true,true,42,42,1984,2025,2349369,580188.309524,374028.5,124140,919013.5,124140,580188.309524,2349369,2025,280264,156124,0.483057,4411,4411,1,0,,true,true
cell_231,Central California,35.448156,-120.937281,10,cell_231.geojson,kelpwatch_cell_231.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,5395,true,true,true,42,42,1984,2025,1644726,695197.5,638738,364808.5,981624.5,364808.5,695197.5,1644726,2025,377657,12848.5,0.543237,5394.97619,5394,0.999996,0,,true,true
cell_232,Central California,35.448994,-120.827019,10,cell_232.geojson,kelpwatch_cell_232.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2,true,true,false,42,1,2013,2013,834,19.857143,0,0,0,0,19.857143,834,2025,0,,0,2,2,1,0,,true,false
