cell_id,region_group,center_lat,center_lon,cell_size_km,geojson_file,kelpwatch_csv_file,time_variable,selection_rule,final_filter_after_kelpwatch,kelpwatch_csv_exists,kelpwatch_csv_rows,kelpwatch_has_required_columns,kelpwatch_has_quarter_max,historic_footprint_cells,has_historic_kelp_footprint,passes_initial_filter,passes_robustness_filter_500,n_years_total,n_years_with_positive_kelp,first_positive_kelp_year,last_positive_kelp_year,max_growing_season_kelp_area_m2,mean_growing_season_kelp_area_m2,median_growing_season_kelp_area_m2,p25_growing_season_kelp_area_m2,p75_growing_season_kelp_area_m2,historical_p25_kelp_area_m2,historical_mean_kelp_area_m2,historical_max_kelp_area_m2,latest_year,latest_growing_season_kelp_area_m2,latest_vs_historical_p25,latest_vs_historical_mean_ratio,mean_count_cells_no_clouds_max,min_count_cells_no_clouds_max,mean_cloud_free_fraction,n_missing_or_empty_max_rows,summary_error
cell_001,Northern California,39.525053,-124.017028,10,cell_001.geojson,kelpwatch_cell_001.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_013,Northern California,39.255332,-124.002291,10,cell_013.geojson,kelpwatch_cell_013.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_014,Northern California,39.259075,-123.886415,10,cell_014.geojson,kelpwatch_cell_014.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_015,Northern California,39.262707,-123.770527,10,cell_015.geojson,kelpwatch_cell_015.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2825,true,true,true,42,42,1984,2025,619276,134194.380952,68768,15560,196093,15560,134194.380952,619276,2025,7168,-8392,0.053415,2818.714286,2746,0.997775,0,
cell_016,Northern California,39.26623,-123.654627,10,cell_016.geojson,kelpwatch_cell_016.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_017,Northern California,39.165432,-123.997403,10,cell_017.geojson,kelpwatch_cell_017.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_018,Northern California,39.16917,-123.881668,10,cell_018.geojson,kelpwatch_cell_018.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_019,Northern California,39.172798,-123.765921,10,cell_019.geojson,kelpwatch_cell_019.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1847,true,true,true,42,42,1984,2025,418348,78695.190476,21129,5111,87952.25,5111,78695.190476,418348,2025,2251,-2860,0.028604,1839.761905,1742,0.996081,0,
cell_020,Northern California,39.176316,-123.650163,10,cell_020.geojson,kelpwatch_cell_020.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_021,Northern California,39.179725,-123.534393,10,cell_021.geojson,kelpwatch_cell_021.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_022,Northern California,39.079269,-123.876932,10,cell_022.geojson,kelpwatch_cell_022.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_023,Northern California,39.082892,-123.761326,10,cell_023.geojson,kelpwatch_cell_023.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2002,true,true,true,42,42,1984,2025,471466,49661.47619,10869.5,2654.75,64251,2654.75,49661.47619,471466,2025,7156,4501.25,0.144096,2001.595238,1991,0.999798,0,
cell_024,Northern California,39.086406,-123.645709,10,cell_024.geojson,kelpwatch_cell_024.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,453,true,true,false,42,36,1984,2025,128661,11368.333333,1093.5,102,11029.25,102,11368.333333,128661,2025,779,677,0.068524,453,453,1,0,
cell_025,Northern California,39.08981,-123.530081,10,cell_025.geojson,kelpwatch_cell_025.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_026,Northern California,38.98937,-123.872208,10,cell_026.geojson,kelpwatch_cell_026.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_027,Northern California,38.992989,-123.756743,10,cell_027.geojson,kelpwatch_cell_027.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,147,true,true,false,42,30,1985,2025,25317,3667.5,1245,0,5170.5,0,3667.5,25317,2025,992,,0.270484,147,147,1,0,
cell_028,Northern California,38.996498,-123.641266,10,cell_028.geojson,kelpwatch_cell_028.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1,true,true,false,42,2,2012,2013,196,5.571429,0,0,0,0,5.571429,196,2025,0,,0,1,1,1,0,
cell_029,Northern California,38.999898,-123.525778,10,cell_029.geojson,kelpwatch_cell_029.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_030,Northern California,38.899474,-123.867496,10,cell_030.geojson,kelpwatch_cell_030.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_031,Northern California,38.903088,-123.75217,10,cell_031.geojson,kelpwatch_cell_031.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3842,true,true,true,42,42,1984,2025,641885,157606.809524,110669.5,16708,303930,16708,157606.809524,641885,2025,15792,-916,0.100199,3841.761905,3840,0.999938,0,
cell_032,Northern California,38.906593,-123.636834,10,cell_032.geojson,kelpwatch_cell_032.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2751,true,true,true,42,41,1984,2025,515969,105846.880952,41599,6858.25,176246,6858.25,105846.880952,515969,2025,2806,-4052.25,0.02651,2750.97619,2750,0.999991,0,
cell_033,Northern California,38.909989,-123.521487,10,cell_033.geojson,kelpwatch_cell_033.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_034,Northern California,38.913275,-123.406129,10,cell_034.geojson,kelpwatch_cell_034.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_035,Northern California,38.80958,-123.862794,10,cell_035.geojson,kelpwatch_cell_035.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_036,Northern California,38.81319,-123.747609,10,cell_036.geojson,kelpwatch_cell_036.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_037,Northern California,38.816691,-123.632413,10,cell_037.geojson,kelpwatch_cell_037.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3346,true,true,true,42,42,1984,2025,555827,167381.166667,131910,35218.5,298114.75,35218.5,167381.166667,555827,2025,12642,-22576.5,0.075528,3342,3272,0.998805,0,
cell_038,Northern California,38.820083,-123.517205,10,cell_038.geojson,kelpwatch_cell_038.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,931,true,true,true,42,42,1984,2025,193723,40310.761905,20486,3844.25,48540,3844.25,40310.761905,193723,2025,1453,-2391.25,0.036045,930.404762,921,0.999361,0,
cell_039,Northern California,38.823365,-123.401988,10,cell_039.geojson,kelpwatch_cell_039.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_040,Northern California,38.723295,-123.743059,10,cell_040.geojson,kelpwatch_cell_040.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_041,Northern California,38.726791,-123.628002,10,cell_041.geojson,kelpwatch_cell_041.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_042,Northern California,38.730178,-123.512935,10,cell_042.geojson,kelpwatch_cell_042.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,868,true,true,true,42,42,1984,2025,113401,26975.809524,16339.5,7421.75,45344.75,7421.75,26975.809524,113401,2025,6305,-1116.75,0.233728,867.380952,851,0.999287,0,
cell_043,Northern California,38.733456,-123.397857,10,cell_043.geojson,kelpwatch_cell_043.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,347,true,true,false,42,34,1985,2024,53663,9155.047619,1970,124.5,13483.5,124.5,9155.047619,53663,2025,0,-124.5,0,346.619048,336,0.998902,0,
cell_044,Northern California,38.736625,-123.282769,10,cell_044.geojson,kelpwatch_cell_044.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_045,Northern California,38.633401,-123.73852,10,cell_045.geojson,kelpwatch_cell_045.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_046,Northern California,38.636893,-123.623602,10,cell_046.geojson,kelpwatch_cell_046.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_047,Northern California,38.640276,-123.508674,10,cell_047.geojson,kelpwatch_cell_047.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_048,Northern California,38.64355,-123.393735,10,cell_048.geojson,kelpwatch_cell_048.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1715,true,true,true,42,42,1984,2025,278870,68702.738095,16284.5,1311.5,110235,1311.5,68702.738095,278870,2025,533,-778.5,0.007758,1704.357143,1495,0.993794,0,
cell_049,Northern California,38.646715,-123.278787,10,cell_049.geojson,kelpwatch_cell_049.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_050,Northern California,38.649771,-123.163829,10,cell_050.geojson,kelpwatch_cell_050.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_051,Northern California,38.546996,-123.619213,10,cell_051.geojson,kelpwatch_cell_051.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_052,Northern California,38.550375,-123.504424,10,cell_052.geojson,kelpwatch_cell_052.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_053,Northern California,38.553645,-123.389624,10,cell_053.geojson,kelpwatch_cell_053.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1092,true,true,true,42,38,1985,2025,187010,49431.285714,28362,1526,77611.75,1526,49431.285714,187010,2025,2171,645,0.04392,1088.333333,1017,0.996642,0,
cell_054,Northern California,38.556807,-123.274815,10,cell_054.geojson,kelpwatch_cell_054.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1828,true,true,true,42,42,1984,2025,471008,89806.166667,42165.5,2725.5,149748.25,2725.5,89806.166667,471008,2025,2574,-151.5,0.028662,1817.166667,1640,0.994074,0,
cell_055,Northern California,38.559859,-123.159995,10,cell_055.geojson,kelpwatch_cell_055.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_056,Northern California,38.562802,-123.045167,10,cell_056.geojson,kelpwatch_cell_056.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_057,Northern California,38.460476,-123.500184,10,cell_057.geojson,kelpwatch_cell_057.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_058,Northern California,38.463742,-123.385523,10,cell_058.geojson,kelpwatch_cell_058.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_059,Northern California,38.4669,-123.270852,10,cell_059.geojson,kelpwatch_cell_059.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1474,true,true,true,42,42,1984,2025,307536,60869.238095,28465,1086.75,91658.25,1086.75,60869.238095,307536,2025,468,-618.75,0.007689,1472.571429,1428,0.999031,0,
cell_060,Northern California,38.469948,-123.156172,10,cell_060.geojson,kelpwatch_cell_060.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,632,true,true,true,42,38,1985,2025,103889,20614.095238,10489.5,588,30579.75,588,20614.095238,103889,2025,72,-516,0.003493,631,608,0.998418,0,
cell_061,Northern California,38.472888,-123.041482,10,cell_061.geojson,kelpwatch_cell_061.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_062,Northern California,38.373841,-123.381431,10,cell_062.geojson,kelpwatch_cell_062.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_063,Northern California,38.376994,-123.266899,10,cell_063.geojson,kelpwatch_cell_063.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_064,Northern California,38.380039,-123.152357,10,cell_064.geojson,kelpwatch_cell_064.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_065,Northern California,38.382975,-123.037806,10,cell_065.geojson,kelpwatch_cell_065.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_066,Northern California,38.385803,-122.923246,10,cell_066.geojson,kelpwatch_cell_066.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_067,Northern California,38.28394,-123.37735,10,cell_067.geojson,kelpwatch_cell_067.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_068,Northern California,38.28709,-123.262955,10,cell_068.geojson,kelpwatch_cell_068.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_069,Northern California,38.290131,-123.148551,10,cell_069.geojson,kelpwatch_cell_069.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_070,Northern California,38.293063,-123.034138,10,cell_070.geojson,kelpwatch_cell_070.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2,true,true,false,42,10,1985,2023,450,36.452381,0,0,0,0,36.452381,450,2025,0,,0,1.97619,1,0.988095,0,
cell_071,Northern California,38.295888,-122.919716,10,cell_071.geojson,kelpwatch_cell_071.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_072,Northern California,38.197186,-123.259021,10,cell_072.geojson,kelpwatch_cell_072.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_073,Northern California,38.200224,-123.144755,10,cell_073.geojson,kelpwatch_cell_073.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
