validation_scheme,heldout_band,target_definition,feature_family,model,positive_rate,recall,precision,false_negatives,false_positives,pr_auc,roc_auc,ranking_failure_flag,threshold_failure_flag,failure_mode,target_with_largest_pr_auc_loss,target_with_largest_recall_loss,worst_three_band_by_mean_pr_auc
five_band_holdout,band_4_north_central,at_risk_original,trajectory_crw_habitat_wave,Random Forest,0.234973,0.255814,0.687500,32,5,0.465191,0.659967,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_4_north_central,new_transition,trajectory_crw_habitat_wave,LightGBM,0.161111,0.086207,0.625000,53,3,0.443648,0.748287,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_4_north_central,original_decline,trajectory_crw_habitat,LightGBM,0.363889,0.610687,0.701754,51,34,0.783409,0.812794,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
five_band_holdout,band_5_north,actionable_drop,canopy_trajectory,XGBoost,0.197222,0.901408,0.719101,7,25,0.829716,0.962523,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
five_band_holdout,band_5_north,at_risk_original,trajectory_crw_habitat_wave,Random Forest,0.238095,0.200000,0.714286,20,2,0.488879,0.685500,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_5_north,new_transition,trajectory_crw_habitat_wave,LightGBM,0.161111,0.103448,0.666667,52,3,0.408561,0.792019,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_5_north,original_decline,trajectory_crw_habitat,Random Forest,0.486111,0.742857,0.787879,45,35,0.825138,0.827089,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
three_band_holdout,band_1_south,actionable_drop,trajectory_crw_habitat,LightGBM,0.303922,0.333333,0.775000,124,18,0.706354,0.855634,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
three_band_holdout,band_1_south,at_risk_original,trajectory_crw_habitat_wave,LightGBM,0.233708,0.221154,0.793103,81,6,0.553490,0.711905,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
three_band_holdout,band_1_south,new_transition,trajectory_crw_habitat_wave,Random Forest,0.174837,0.149533,0.842105,91,3,0.487941,0.754603,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
three_band_holdout,band_1_south,original_decline,trajectory_crw_habitat,LightGBM,0.248366,0.532895,0.496933,71,82,0.527766,0.712314,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
three_band_holdout,band_2_central,actionable_drop,trajectory_crw_habitat_wave,LightGBM,0.263889,0.467105,0.577236,81,52,0.585824,0.789551,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
three_band_holdout,band_2_central,at_risk_original,trajectory_crw_habitat_wave,LightGBM,0.372277,0.218085,0.745455,147,14,0.602240,0.690181,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
three_band_holdout,band_2_central,new_transition,trajectory_crw_habitat_wave,XGBoost,0.197917,0.605263,0.475862,45,76,0.592252,0.823033,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
three_band_holdout,band_2_central,original_decline,trajectory_crw_habitat_wave,Random Forest,0.401042,0.385281,0.729508,142,33,0.671507,0.744501,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
three_band_holdout,band_3_north,actionable_drop,trajectory_crw_habitat_wave,Random Forest,0.215686,0.250000,0.804878,99,8,0.756975,0.950063,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
three_band_holdout,band_3_north,at_risk_original,trajectory_crw_habitat,Random Forest,0.234450,0.081633,0.800000,45,1,0.357583,0.592985,True,True,ranking_and_threshold_failure,at_risk_original,new_transition,band_3_north
three_band_holdout,band_3_north,new_transition,trajectory_crw_habitat_wave,Random Forest,0.156863,0.000000,0.000000,96,0,0.303947,0.728844,True,True,ranking_and_threshold_failure,at_risk_original,new_transition,band_3_north
three_band_holdout,band_3_north,original_decline,naive_persistence,current_low_canopy_score,0.449346,1.000000,0.449346,0,337,0.738093,0.760178,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
